['04:57:29.471]', 3898]

['04:59:30.518]', 3898]

['05:03:32.762]', 3898]

['05:05:33.662]', 3898]

['05:07:34.712]', 3897]

['05:10:36.220]', 3897]

['05:12:37.232]', 3898]

['05:14:38.265]', 3898]

['05:16:39.219]', 3896]

['05:18:40.483]', 3897]

['05:20:41.564]', 3897]

['05:22:42.769]', 3896]

['05:28:46.435]', 3879]

['05:36:00.184]', 3768]

['06:01:02.547]', 3892]

['06:04:04.356]', 3888]

['06:07:05.823]', 3894]

['06:09:07.031]', 3894]

['06:21:13.185]', 3894]

['06:23:14.210]', 3895]

['06:29:17.203]', 3896]

['06:31:18.232]', 3896]

['06:33:19.300]', 3896]

['06:36:20.530]', 3894]

['06:38:21.617]', 3895]

['06:40:22.679]', 3897]

['06:42:23.864]', 3896]

['06:44:24.970]', 3898]

['06:46:26.093]', 3898]

['06:48:27.004]', 3897]

['06:52:29.050]', 3897]

['06:54:30.110]', 3896]

['07:01:33.720]', 3896]

['07:03:34.421]', 3898]

['07:05:35.422]', 3897]

['07:07:36.445]', 3898]

['07:09:37.338]', 3897]

['07:11:38.267]', 3898]

['07:27:46.491]', 3897]

['07:30:47.917]', 3896]

['07:32:48.805]', 3894]

['07:34:49.749]', 3895]

['07:36:50.945]', 3895]

['07:38:51.841]', 3895]

['07:40:52.782]', 3894]

['07:42:53.741]', 3894]

['07:44:54.661]', 3894]

['07:46:55.776]', 3894]

['07:48:56.622]', 3896]

['07:50:57.523]', 3895]

['07:52:58.542]', 3895]

['07:54:59.547]', 3886]

['07:57:00.427]', 3893]

['07:59:01.633]', 3892]

['08:02:02.963]', 3893]

['08:04:03.817]', 3891]

['08:06:04.858]', 3893]

['08:52:27.617]', 3890]

['08:54:28.480]', 3890]

['08:56:29.436]', 3889]

['09:28:45.210]', 3884]

['09:30:46.268]', 3884]

['09:32:47.231]', 3885]

['09:34:48.174]', 3886]

['10:48:23.113]', 3881]

['10:50:24.071]', 3879]

['10:52:25.063]', 3879]

['11:19:37.756]', 3861]

['11:21:38.616]', 3877]

['11:23:39.516]', 3879]

['11:25:40.466]', 3878]

['11:29:42.487]', 3877]

['11:31:43.499]', 3875]

['11:50:53.205]', 3876]

['11:54:07.223]', 3883]

['12:28:11.300]', 3874]

['12:31:12.696]', 3873]

['12:33:13.598]', 3873]

['12:36:15.239]', 3871]

['12:38:16.395]', 3873]

['12:40:17.167]', 3872]

['12:42:17.857]', 3872]

['12:44:19.006]', 3871]

['12:46:20.013]', 3869]

['12:57:26.403]', 3871]

['13:08:31.446]', 3865]

['13:10:32.333]', 3870]

['13:12:32.870]', 3870]

['13:20:36.377]', 3870]

['13:22:37.309]', 3869]

['13:24:37.800]', 3869]

['13:26:38.855]', 3863]

['13:28:39.603]', 3863]

['13:32:41.753]', 3855]

['13:35:43.238]', 3869]

['13:37:44.466]', 3868]

['13:39:45.591]', 3868]

['13:41:46.758]', 3866]

['13:43:47.765]', 3867]

['13:45:48.753]', 3866]

['13:47:49.950]', 3866]

['13:49:51.182]', 3865]

['13:51:52.362]', 3864]

['14:00:57.450]', 3866]

['14:02:58.347]', 3865]

['14:04:59.484]', 3866]

['14:07:00.681]', 3865]

['14:09:01.888]', 3864]

['14:11:03.169]', 3864]

['14:13:04.475]', 3864]

['14:15:05.747]', 3864]

['14:18:07.607]', 3865]

['14:20:08.769]', 3865]

['14:23:10.488]', 3864]

['14:25:11.692]', 3861]

['14:27:13.013]', 3864]

['14:29:14.206]', 3863]

['14:31:15.527]', 3858]

['14:33:16.624]', 3856]

['14:35:17.719]', 3861]

['15:15:37.994]', 3860]

['15:17:39.172]', 3859]

['15:19:40.247]', 3859]

['15:21:41.310]', 3860]

['15:23:42.419]', 3860]

['15:27:44.701]', 3860]

['15:29:45.903]', 3859]

['15:32:47.405]', 3859]

['15:34:48.584]', 3856]

['15:36:49.425]', 3857]

['15:51:57.237]', 3857]

['15:53:58.337]', 3856]

['16:00:01.458]', 3855]

['16:03:03.045]', 3853]

['16:05:04.191]', 3854]

['16:07:05.119]', 3856]

['16:10:06.664]', 3853]

['16:13:08.268]', 3854]

['16:43:23.663]', 3850]

['17:03:33.189]', 3850]

['17:05:34.505]', 3848]

['17:07:35.400]', 3842]

['17:09:36.106]', 3835]

['17:11:37.551]', 3849]

['17:13:38.492]', 3848]

['17:17:39.954]', 3848]

['17:19:41.383]', 3848]

['17:21:42.067]', 3845]

['17:23:43.115]', 3848]

['17:25:44.174]', 3848]

['17:27:44.955]', 3845]

['17:29:46.337]', 3847]

['17:33:48.279]', 3848]

['17:36:49.769]', 3846]

['17:38:50.625]', 3845]

['17:41:51.739]', 3845]

['17:43:52.701]', 3846]

['17:45:53.649]', 3847]

['17:47:54.247]', 3844]

['17:49:54.717]', 3843]

['17:51:55.674]', 3845]

['17:54:56.594]', 3845]

['17:56:57.604]', 3843]

['17:58:58.557]', 3844]

['18:00:59.352]', 3845]

['18:04:00.701]', 3845]

['18:06:01.508]', 3844]

['18:08:02.529]', 3842]

['18:11:04.258]', 3842]

['18:13:04.994]', 3842]

['18:16:06.277]', 3841]

['18:18:07.244]', 3843]

['18:20:08.561]', 3843]

['18:22:09.804]', 3844]

['18:24:10.597]', 3841]

['18:26:11.939]', 3843]

['18:28:13.158]', 3842]

['18:30:14.271]', 3840]

['18:33:15.648]', 3834]

['18:35:16.436]', 3841]

['18:57:26.599]', 3840]

['19:00:27.622]', 3838]

['19:02:28.616]', 3840]

['19:04:29.359]', 3838]

['19:06:30.369]', 3839]

['19:11:33.615]', 3839]

['19:13:34.719]', 3838]

['19:15:35.756]', 3837]

['19:17:37.176]', 3836]

['19:23:40.076]', 3837]

['19:25:41.251]', 3839]

['19:28:42.328]', 3836]

['19:30:43.607]', 3837]

['19:32:44.544]', 3838]

['19:40:48.779]', 3836]

['19:43:49.730]', 3834]

['19:45:50.729]', 3836]

['19:47:51.256]', 3836]

['19:50:52.826]', 3836]

['19:53:54.294]', 3835]

['19:55:55.827]', 3827]

['19:57:57.225]', 3833]

['19:59:57.938]', 3834]

['20:01:59.012]', 3834]

['20:04:00.062]', 3834]

['20:06:01.139]', 3835]

['20:08:02.135]', 3835]

['20:11:04.151]', 3835]

['20:45:22.313]', 3834]

['20:47:23.235]', 3835]

['20:58:29.224]', 3834]

['21:02:31.073]', 3832]

['21:04:32.173]', 3833]

['21:06:33.153]', 3832]

['21:08:34.171]', 3828]

['21:10:35.075]', 3834]

['21:12:35.836]', 3829]

['21:14:36.936]', 3834]

['21:16:38.186]', 3832]

['21:18:39.145]', 3832]

['21:20:40.101]', 3831]

